line,text
0,1 Barclays Bank Privacy Notice 1.
1, Introduction 2.
2, Information we hold about you 3.
3, What we use your information for and the legal basis for doing so 4.
4, Who we will share your information with? 5.
5, Insurance 6.
6, Sharing information about you with tax authorities outside [the UK/Ireland] 7.
7, Credit reference agencies and fraud prevention agencies 8.
8, International data transfer 9.
9, Retention of your data 10.
10, Your rights 11.
11, Automated processing 12.
12, Cookies 13.
13, Contact us 14.
14, Changes to the Privacy Notice 2 1.
15," Introduction This privacy notice describes how the Barclays companies and branches listed below (collectively “Barclays”) each, subject to any requirements under the laws of the jurisdictions listed below, collects and processes personal data, how they use and protect this information, and individuals’ rights in relation to this information."
16," Barclays Bank PLC Barclays Bank PLC, DIFC branch Barclays Bank PLC, Guernsey branch Barclays Bank PLC, Isle of Man branch Barclays Bank PLC, Jersey branch Barclays Bank Ireland PLC Barclays Bank PLC, Singapore Barclays Bank PLC, India Barclays Bank PLC, South Africa 2."
17, Information we hold about you Information we hold about you will often come from you directly (eg: when you apply for a new product) and this information will include the following: .
18," Personal details (eg: name, date of birth, passport information or other identification information) ."
19," Contact details (eg: phone number, email address, postal address or mobile number) ."
20," Biometric information (eg: voice recognition when you call some of our call centres, as well as facial recognition for certain products) ."
21, Transactional details (eg: payments you make and receive) .
22," Financial information (eg: bank account number, credit or debit card numbers, financial history) including information you provide for the purposes of providing payment initiation services and account information services regarding accounts you hold with other providers ."
23," Information about any other Barclays products and services you currently have, you have applied for, or you have previously held."
24, Some of the information that Barclays collects are special categories of personal data (also known as sensitive personal data).
25," For example, the client due diligence checks Barclays carries out may reveal political opinions or religious belief, trade union, philosophical or political organization affiliation, etc."
26," If you do not provide personal data that we advise you is mandatory, it may mean that we are unable to provide you with the services and/or perform all of our obligations under our agreement with you."
27, We will also hold information we collect about you from other sources including: .
28," The way you are using our branches, telephone services, websites or mobile applications ."
29," Your interactions with us, for example, through social media or other channels ."
30, Your digital devices where we perform various checks designed to ascertain and verify your residency to ensure we meet our regulatory obligations.
