line,text
0,Our Privacy Notice 2 Contents 1.
1, Introduction 3 2.
2, What information we collect 4 3.
3, How we’ll use your information 8 4.
4, Who we might share your information with 13 5.
5, How long we’ll keep your information 16 6.
6, Transferring your information overseas 17 7.
7, Your rights 17 8.
8," Credit Reference Checks, Fraud and Money Laundering 18 9."
9, What we need from you 22 10.
10, How we keep your information secure 22 11.
11, More details about your information – how to contact us 23 12.
12, Changes to our Privacy Notice 23 13.
13, Appendix – How we process your information 23 3 1.
14, Introduction This Privacy Notice applies to personal information held by members of the HSBC Group as data controllers.
15," It explains what information we collect about you, how we’ll use that information, who we’ll share it with, the circumstances when we’ll share it."
16," Also, what steps we’ll take to make sure it stays private and secure."
17," It continues to apply even if your agreement for banking, insurance or other products and services with us ends."
18," It should also be read alongside your banking or insurance terms and conditions, as these include sections relating to the use and disclosure of information."
19, This Privacy Notice covers any personal products or services you have with us.
20," Including current accounts, savings, loans, credit cards, mortgages, investments, and insurance."
21, Sometimes we may need to provide you with separate or further information about specific products and services.
22," If you also bank with other parts of the HSBC Group, for example, HSBC business banking, first direct, M&S Bank or HSBC in any other countries, they’ll provide you with information separately where required."
23, Some links on our websites lead to other HSBC or non-HSBC websites.
24," These have their own privacy notices, which may be different to this one."
25, You’ll need to make sure you’re happy with their privacy notices when using those sites.
26," Wherever we’ve said ‘you’ or ‘your’, this means: • You."
27, • Any authorised person on your account.
28," • Anyone who does your banking or deals with us for you, for example, trustees, executors or attorneys under a Power of Attorney."
29," • Other related people, for example, authorised signatories, partners, members, and trustees."
30," • If you’re an insurance customer it also means you, named insured parties or beneficiaries under your policy, dependants, claimants and other third parties involved in an insurance policy or claim such as witnesses."
31," When we say ‘we’, we mean HSBC Group companies, which act as a data controller for your personal data."
32," Unless otherwise stated, the data controller for the purposes of this notice is HSBC UK Bank plc."
33, The following HSBC Group companies will act as a data controller where you hold a product or service with them: HSBC Life (UK) Limited; HSBC Trust Company (UK) Limited; HSBC Executor and Trustee Company (UK) Limited; Trustees of The HSBC Self-Invested Personal Pension; and HSBC Finance Limited.
34," The address for the HSBC Group companies is 1 Centenary Square, Birmingham B1 1HQ."
35," If you’d like to get in touch with us, you can also find our contact details in section 11."
37, What information we collect We’ll only collect information about you as allowed by regulations and law.
38," We may collect it from a range of sources, and it may relate to any of our products or services you apply for, currently hold, or have held in the past."
39," We may also collect information about you when you interact with us through our websites or mobile channels, telephone banking or when you visit one of our branches."
40," Some of it will come directly from you, for example, when you provide identification to open an account."
41," It can also come from your financial advisor, broker or mortgage intermediary, other HSBC companies, the insurance company, which provides the insurance policies we offer, or other sources you’ve asked us to get information from."
42, We might also get some from publicly available places.
43, The information we collect will differ depending on the type of product you hold.
44," The information we collect may include: 4 5 Information that you provide to us, such as: • Personal details (for example, your name, previous names, gender, date and place of birth)."
45," • Contact details (for example, your postal address, email address, and telephone numbers)."
46," • Information concerning your identity (for example, photo identification, passport information, National Insurance number, National ID card and nationality)."
47," • Market research (for example, information and opinions given when participating in market research)."
48," • User login and subscription details (for example, login credentials for phone, online banking and mobile banking apps)."
49," • Other information that you give us by filling in forms or by communicating with us, whether face-to-face, by phone, email, online, or in other ways."
50," • If our relationship is because of an insurance policy or claim, we may also collect: — Information regarding your family or other people who might be covered by or benefit from your insurance policy, or be financially dependent on you — Relevant details including details of previous policies and claims history."
51," — Lifestyle information (for example, if you smoke and how much alcohol you drink)."
52," — Relevant details about your physical or mental health (for example, if you make a claim, we may ask for medical information)."
53, — Details about any criminal convictions or related information.
54, This includes details of offences or alleged offences.
55," — Any other information, which is relevant to a claim that you make."
56," Information we collect or provide about you, for example: • Your financial information and information about your relationship with us."
57, This includes the products and services you hold.
58," The channels you use, and your ways of interacting with us."
59," Your ability to get and manage credit, your payment history, transactions records, market trades, payments into your account including salary details and information about complaints and disputes."
